companyShortName,district,industryField,salary,positionName,workYear
博奥特科技,福田区,"移动互联网,金融",15k-30k,中高级python开发工程师,3-5年
一面数据,南山区,"移动互联网,数据服务",15k-30k,Python工程师（数据平台）,1-3年
花果山,南山区,电子商务,5k-8k,Python,1-3年
金证股份,福田区,金融,12k-14k,后台开发（python）工程师,3-5年
武汉烧麦财播科技有限公司,南山区,"移动互联网,金融",18k-25k,Python开发工程师（深圳公司）,3-5年
米筐 (Ricequant),南山区,金融,25k-30k,Python后台开发/数据平台 资深工程师,5-10年
赛意,龙华区,"硬件,企业服务",15k-25k,python工程师,不限
中国联保,龙岗区,"移动互联网,电子商务",5k-10k,Python 工程师,1-3年
顺丰科技有限公司,南山区,"移动互联网,电子商务",15k-30k,GIS平台JAVA工作流与PYTHON脚本高级研发,3-5年
翼果科技,南山区,"大数据,互联网,移动互联网",15k-30k,Python后台工程师(科技园),1-3年
千锋教育,宝安区,移动互联网,15k-30k,Python讲师,3-5年
宸睿科技,南山区,"电子商务,教育",9k-16k,Python工程师,3-5年
新炬网络,福田区,"移动互联网,数据服务",15k-20k,Python运维开发,3-5年
车涯互动,南山区,"移动互联网,企业服务",15k-20k,python高级开发工程师,5-10年
华策,福田区,移动互联网,8k-15k,Python算法工程师,3-5年
泽林信息,南山区,教育,15k-20k,Python讲师,3-5年
盖威,南山区,金融,18k-30k,python后台开发工程师,3-5年
掌世界,罗湖区,移动互联网,5k-10k,python开发工程师,1-3年
华制智能制造技术有限公司,南山区,企业服务,10k-20k,Python开发工程师,3-5年
DJI大疆创新,南山区,"移动互联网,硬件",15k-30k,Python工程师,不限
浪潮企业云深圳研发中心,南山区,"移动互联网,企业服务",11k-18k,python开发工程师,1-3年
翼果科技,南山区,"大数据,互联网,移动互联网",20k-40k,Python高级后台工程师(科技园),1-3年
通力互联,南山区,"电子商务,企业服务",8k-12k,后台研发工程师（python大数据）,1-3年
铭淏科技,福田区,"金融,移动互联网",12k-16k,Python开发工程师,1-3年
Webot,南山区,"数据服务,其他",12k-24k,Python开发工程师,1-3年
